总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型 
98万,24599元/平米,郎官社区,海曙区 南门 ,1室1厅1厨1卫,中楼层 (共6层),39.84㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2023-08-04,已购公房,2019-05-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308053302030026,None,None,None,None
298万,26525元/平米,新都美地,鄞州区 钟公庙 ,3室2厅1厨2卫,中楼层 (共16层),112.35㎡,平层,98㎡,板楼,南 西 北,钢混结构,精装,两梯两户,有,2023-05-08,商品房,2021-02-01,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202305133302120016,None,None,None,None
350万,34453元/平米,中海寰宇天下二期,鄞州区 长丰 ,3室2厅1厨1卫,高楼层 (共18层),101.59㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,2023-09-26,商品房,2023-09-27,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202309273302120024,None,None,None,None
129万,17623元/平米,卖面桥小区徐家新村,海曙区 集士港 ,2室1厅1厨1卫,中楼层 (共11层),73.2㎡,平层,60.9㎡,塔楼,南,钢混结构,精装,一梯四户,有,2023-09-21,商品房,2023-09-22,普通住宅,未满两年,共有,有抵押,已上传房本照片,202309223302030034,None,None,None,None
185万,24575元/平米,丹凤社区,鄞州区 白鹤 ,3室1厅1厨1卫,中楼层 (共7层),75.28㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2023-09-23,商品房,2023-09-23,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202208013302120085,None,None,None,None
159万,20086元/平米,银亿海尚广场,镇海区 骆驼 ,2室2厅1厨1卫,中楼层 (共18层),79.16㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯四户,有,2023-09-24,商品房,2022-03-09,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202309263302110018,None,None,None,None
529万,38583元/平米,二号府邸,鄞州区 东胜 ,4室2厅1厨2卫,低楼层 (共30层),137.11㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯两户,暂无数据,2022-08-31,商品房,2020-09-24,普通住宅,暂无数据,非共有,有抵押 108万元,已上传房本照片,202209243302120032,None,None,None,None
227万,23835元/平米,明楼东区,鄞州区 明楼 ,4室2厅1厨1卫,中楼层 (共8层),95.24㎡,平层,85.34㎡,板楼,南,混合结构,简装,一梯两户,无,2023-08-25,商品房,2007-08-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202210083302120118,None,None,None,None
180万,14489元/平米,恒大山水城明苑,镇海区 九龙湖 ,3室1厅1厨2卫,中楼层 (共7层),124.24㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-05-31,商品房,2019-06-07,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,20210628332110013,None,None,None,None
260万,26068元/平米,浪琴海,鄞州区 新明 ,3室2厅1厨1卫,中楼层 (共11层),99.74㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2022-09-18,商品房,2008-09-18,普通住宅,满五年,共有,有抵押,已上传房本照片,202209183302120078,None,None,None,None
149万,17268元/平米,欣欣家园,江北区 洪塘 ,3室2厅1厨1卫,低楼层 (共6层),86.29㎡,平层,76.43㎡,板楼,南,钢混结构,简装,一梯两户,无,2021-05-12,商品房,2018-02-09,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,201912063302050023,None,None,None,None
630万,45240元/平米,江山万里二期,鄞州区 南部商务区 ,4室2厅1厨2卫,低楼层 (共24层),139.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,2021-03-29,商品房,2019-07-03,普通住宅,满两年,共有,无抵押,已上传房本照片,202107073302120109,None,None,None,None
630万,45240元/平米,江山万里二期,鄞州区 南部商务区 ,4室2厅1厨2卫,低楼层 (共24层),139.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,2021-03-29,商品房,2019-07-03,普通住宅,满两年,共有,无抵押,已上传房本照片,202107073302120109,None,None,None,None
185万,22159元/平米,梅江东苑北区,鄞州区 高新区 ,3室1厅1厨1卫,中楼层 (共7层),83.49㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-07-06,商品房,2017-03-31,普通住宅,暂无数据,非共有,有抵押 50万元 建设银行 客户偿还,已上传房本照片,202104103302120103,None,None,None,None
180万,19630元/平米,舒雅茗苑,鄞州区 首南 ,2室1厅1厨1卫,高楼层 (共16层),91.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,2023-04-13,商品房,2020-07-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202210073302120039,None,None,None,None
175万,18329元/平米,桃源里小区,北仑区 新碶 ,3室2厅1厨1卫,高楼层 (共6层),95.48㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,无,2022-08-07,商品房,2009-03-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202205113302060002,None,None,None,None
246万,23778元/平米,富力悦士廷,镇海区 庄市 ,3室2厅1厨2卫,中楼层 (共27层),103.46㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,暂无数据,2023-04-19,商品房,2021-07-19,普通住宅,满两年,非共有,有抵押 业主自还,已上传房本照片,202307243302050008,None,None,None,None
199万,29583元/平米,后河小区,海曙区 西门 ,3室1厅1厨1卫,中楼层 (共8层),67.27㎡,平层,59.06㎡,板楼,东南,砖混结构,精装,一梯两户,无,2023-07-20,商品房,2012-10-10,普通住宅,暂无数据,共有,有抵押 150万元 业主自还,已上传房本照片,202111113302030008,None,None,None,None
568万,40598元/平米,荣安观江园二期,鄞州区 南部商务区 ,4室2厅1厨2卫,低楼层 (共18层),139.91㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-01-24,商品房,2019-09-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202101253302120014,None,None,None,None
300万,28922元/平米,万科金域国际,鄞州区 潘火 ,3室2厅1厨1卫,中楼层 (共11层),103.73㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,2022-09-18,商品房,2017-05-18,普通住宅,满五年,共有,无抵押,已上传房本照片,202209183302120087,None,None,None,None
99万,13599元/平米,天慈良园,江北区 慈城 ,2室2厅1厨1卫,高楼层 (共6层),72.8㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,暂无数据,2023-07-01,商品房,2018-07-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202202193302050009,None,None,None,None
530万,40870元/平米,姚江金茂府,江北区 姚江新区 ,4室2厅1厨2卫,中楼层 (共16层),129.68㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,有,2023-07-27,商品房,2020-09-28,普通住宅,满两年,非共有,有抵押,已上传房本照片,202307283302050016,None,None,None,None
165万,18683元/平米,北城春色,江北区 洪塘 ,3室2厅1厨1卫,中楼层 (共11层),88.32㎡,平层,74.83㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-09-18,商品房,2009-07-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202309173302050014,None,None,None,None
112万,15991元/平米,得发花园,余姚市 长安 ,3室1厅1厨1卫,高楼层 (共6层),70.04㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,无,2023-02-27,商品房,2016-02-16,普通住宅,满五年,非共有,有抵押 10万元,已上传房本照片,202302273302810026,None,None,None,None
148万,27262元/平米,郎官社区,海曙区 南门 ,2室1厅1厨1卫,中楼层 (共6层),54.29㎡,平层,暂无数据,板楼,南,砖混结构,其他,一梯两户,无,2023-10-10,商品房,2023-10-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304253302030056,None,None,None,None
270万,22799元/平米,金鼎花园,鄞州区 东胜 ,3室2厅1厨2卫,中楼层 (共6层),118.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-03-26,商品房,2017-03-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,202303123302120058,None,None,None,None
290万,24715元/平米,香格里拉城市花园,鄞州区 长丰 ,3室2厅1厨2卫,中楼层 (共7层),117.34㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2022-06-07,商品房,2018-06-09,普通住宅,满五年,共有,无抵押,已上传房本照片,202206083302120010,None,None,None,None
230万,13009元/平米,东兴社区,鄞州区 下应 ,4室2厅1厨2卫,高楼层 (共6层),176.81㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-07-24,商品房,2004-07-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202107243302120025,None,None,None,None
242万,27466元/平米,保亿众望风景御园,镇海区 骆驼 ,3室2厅1厨1卫,高楼层 (共18层),88.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2023-09-17,商品房,2016-09-01,普通住宅,暂无数据,非共有,有抵押 40万元 银行 业主自还,已上传房本照片,202309183302110017,None,None,None,None
155万,17485元/平米,红墅湾,镇海区 蛟川 ,3室1厅1厨1卫,低楼层 (共10层),88.65㎡,平层,暂无数据,板楼,南,混合结构,其他,一梯两户,无,2023-03-04,商品房,2020-04-05,普通住宅,暂无数据,共有,有抵押 90万元,已上传房本照片,202303053302110030,None,None,None,None
215万,29272元/平米,福明家园,鄞州区 福明 ,3室2厅1厨1卫,高楼层 (共7层),73.45㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,无,2023-08-08,拆迁安置房,2018-06-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308083302120031,None,None,None,None
205万,26418元/平米,樱花园,鄞州区 东胜 ,2室2厅1厨1卫,高楼层 (共6层),77.6㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,2023-04-04,商品房,2001-04-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202212193302120104,None,None,None,None
165万,22416元/平米,胜丰社区,海曙区 西门 ,3室1厅1厨1卫,高楼层 (共8层),73.61㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2023-05-18,商品房,2017-05-18,普通住宅,暂无数据,共有,有抵押,已上传房本照片,202104223302030056,None,None,None,None
186万,23129元/平米,九曲小区二期,鄞州区 首南 ,2室1厅1厨1卫,低楼层 (共16层),80.42㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,两梯四户,有,2023-09-11,拆迁安置房,2018-02-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,202304243302120057,None,None,None,None
238万,22358元/平米,广厦怡庭南区,江北区 江北万达 ,3室2厅1厨1卫,中楼层 (共6层),106.45㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-03-10,拆迁安置房,2021-03-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,202302133302050043,None,None,None,None
169万,17796元/平米,舜大春江花月东区,余姚市 人民医院 ,2室1厅1厨1卫,低楼层 (共18层),94.97㎡,平层,75.2㎡,板楼,南,钢混结构,精装,两梯三户,有,2023-08-18,商品房,2010-02-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308303302810005,None,None,None,None
279万,23615元/平米,涨馨苑,鄞州区 高新区 ,3室2厅1厨1卫,低楼层 (共26层),118.15㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2023-08-14,拆迁安置房,2019-08-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202308163302120020,None,None,None,None
157万,14504元/平米,孝思房,镇海区 骆驼 ,3室2厅1厨2卫,中楼层 (共6层),108.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2023-06-17,商品房,2018-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,202302223302110017,None,None,None,None
265万,23778元/平米,常青藤小城,鄞州区 明楼 ,3室2厅1厨1卫,中楼层 (共7层),111.45㎡,平层,102.75㎡,板塔结合,南,钢混结构,其他,一梯两户,无,2023-09-15,商品房,2012-10-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202204013302120003,None,None,None,None
257万,25830元/平米,金桥水岸花园,鄞州区 中河 ,3室2厅1厨1卫,低楼层 (共27层),99.5㎡,平层,78.18㎡,板塔结合,南,钢混结构,其他,两梯四户,有,2023-09-02,商品房,2020-09-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202210283302120095,None,None,None,None
83万,21142元/平米,联南花园,海曙区 白云 ,1室1厅1厨1卫,高楼层 (共6层),39.26㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2022-03-31,商品房,2020-04-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202204273302030063,None,None,None,None
170万,22269元/平米,茶苑小区,鄞州区 潘火 ,2室2厅1厨1卫,高楼层 (共6层),76.34㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2023-08-06,商品房,2009-06-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,202308063302120036,None,None,None,None
149万,24842元/平米,日湖家园,江北区 白沙 ,2室1厅1厨1卫,高楼层 (共7层),59.98㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-09-07,商品房,2016-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,202011283302050017,None,None,None,None
135万,13488元/平米,乐活金水苑,鄞州区 云龙 ,3室1厅1厨1卫,中楼层 (共17层),100.09㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,有,2023-03-27,商品房,2020-09-02,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202302193302120022,None,None,None,None
170万,15728元/平米,红星都会广场北苑,镇海区 骆驼 ,3室2厅1厨1卫,高楼层 (共33层),108.09㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2023-05-06,商品房,2019-06-08,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,202207063302110020,None,None,None,None
318万,26950元/平米,日月星城社区,鄞州区 白鹤 ,3室2厅1厨2卫,低楼层 (共7层),118㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2022-09-10,商品房,2003-04-28,普通住宅,满五年,共有,无抵押,已上传房本照片,202209173302120046,None,None,None,None
180万,31881元/平米,中海雍城世家二期,鄞州区 南部商务区 ,1室1厅1厨1卫,低楼层 (共34层),56.46㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯八户,有,2022-09-06,商品房,2020-08-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20220906330212001729901A,None,None,None,None
157万,17765元/平米,曙升花苑,鄞州区 姜山 ,2室2厅1厨1卫,高楼层 (共17层),88.38㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2023-09-06,拆迁安置房,2019-03-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202105093302120041,None,None,None,None
199万,28917元/平米,学府一号,鄞州区 南部商务区 ,2室1厅1厨1卫,高楼层 (共33层),68.82㎡,平层,暂无数据,塔楼,东 东北,钢混结构,精装,三梯六户,有,2023-08-02,商品房,2020-09-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202308023302120074,None,None,None,None
255万,23922元/平米,银亿朗境府,海曙区 高桥 ,4室2厅1厨2卫,高楼层 (共9层),106.6㎡,平层,88.59㎡,板楼,南,钢混结构,精装,一梯两户,暂无数据,2023-05-22,商品房,2020-08-04,普通住宅,满两年,非共有,有抵押 100万元,已上传房本照片,202305233302030074,None,None,None,None
230万,31733元/平米,演武社区,鄞州区 百丈 ,3室1厅1厨1卫,中楼层 (共7层),72.48㎡,平层,暂无数据,板塔结合,南,混合结构,精装,一梯两户,无,2022-06-23,商品房,2015-06-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202331338016,None,None,None,None
46万,12144元/平米,宝业凤鸣壹号,北仑区 霞浦 ,1室1厅1厨1卫,高楼层 (共27层),37.88㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,五梯二十八户,有,2023-10-16,商品房,2023-06-17,商住两用,未满两年,非共有,无抵押,已上传房本照片,202309193302060011,未知,未知,None,None
165万,18907元/平米,东方苑,海曙区 石碶 ,2室2厅1厨1卫,中楼层 (共8层),87.27㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2022-12-06,商品房,2017-03-15,普通住宅,暂无数据,非共有,有抵押 60万元 业主自还,已上传房本照片,202212063302030016,None,None,None,None
178万,19882元/平米,鼎豪名苑,鄞州区 云龙 ,3室2厅1厨1卫,中楼层 (共18层),89.53㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,2023-02-14,商品房,2017-05-05,普通住宅,满五年,共有,无抵押,已上传房本照片,202302163302120120,None,None,None,None
265万,26588元/平米,云水湾,江北区 姚江新区 ,3室2厅1厨1卫,中楼层 (共26层),99.67㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,四梯四户,有,2023-02-14,拆迁安置房,2020-05-15,普通住宅,满两年,共有,有抵押,已上传房本照片,202302203302050013,None,None,None,None
249万,24303元/平米,世纪曙光B区,鄞州区 明楼 ,3室2厅1厨1卫,中楼层 (共9层),102.46㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,无,2023-02-16,商品房,2018-11-17,普通住宅,满两年,非共有,有抵押,已上传房本照片,202302173302120062,None,None,None,None
309万,35852元/平米,丰汇城,江北区 江北万达 ,3室2厅1厨1卫,低楼层 (共18层),86.19㎡,平层,74㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-09-01,商品房,2020-11-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,202208263302050004,None,None,None,None
328万,19588元/平米,江鹭院,江北区 慈城 ,4室2厅1厨2卫,低楼层 (共6层),167.45㎡,平层,149.29㎡,板楼,南,框架结构,精装,一梯四户,有,2022-09-01,商品房,2020-03-25,普通住宅,暂无数据,共有,有抵押 240万元,已上传房本照片,202209023302050013,None,None,None,None
160万,22309元/平米,胜丰社区,海曙区 西门 ,3室1厅1厨1卫,中楼层 (共8层),71.72㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2022-10-10,商品房,2000-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,202210103302030013,None,None,None,None
260万,21253元/平米,福明家园,鄞州区 福明 ,3室2厅1厨2卫,高楼层 (共7层),122.34㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2023-03-26,拆迁安置房,2003-04-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202302183302120006,None,None,None,None
210万,26039元/平米,幸福苑社区,鄞州区 福明 ,3室1厅1厨1卫,中楼层 (共7层),80.65㎡,平层,72.66㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-02-16,商品房,2014-05-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202306293302120066,None,None,None,None
185万,15757元/平米,众安时代广场,余姚市 凤山 ,3室2厅1厨2卫,低楼层 (共28层),117.41㎡,平层,暂无数据,板塔结合,南 北,框架结构,其他,四梯两户,有,2022-11-02,商品房,2018-04-03,普通住宅,满五年,非共有,有抵押,已上传房本照片,202207143302810011,None,None,None,None
125万,13069元/平米,慈湖人家一期,江北区 慈城 ,3室2厅1厨1卫,中楼层 (共5层),95.65㎡,平层,87.05㎡,暂无数据,南,未知结构,其他,一梯两户,暂无数据,2023-09-18,商品房,2014-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,202309273302050014,None,None,None,None
176万,13904元/平米,东兴社区,鄞州区 下应 ,3室1厅1厨2卫,高楼层 (共7层),126.59㎡,复式,113.33㎡,板楼,南,钢混结构,简装,一梯两户,无,2023-07-23,商品房,2016-03-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,201811163302120068,None,None,None,None
220万,15975元/平米,蓝天公寓北区,北仑区 新碶 ,3室2厅1厨2卫,中楼层 (共12层),137.72㎡,平层,121.5㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2023-06-11,商品房,2014-01-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202104133302060040,None,None,None,None
216万,24513元/平米,海创家园锦园,鄞州区 下应 ,3室2厅1厨1卫,高楼层 (共24层),88.12㎡,平层,68.21㎡,板楼,南,钢混结构,精装,两梯四户,有,2023-09-16,商品房,2015-07-16,普通住宅,满五年,共有,无抵押,已上传房本照片,202309163302120051,None,None,None,None
252万,23390元/平米,光明领尚,北仑区 大碶 ,3室2厅1厨2卫,低楼层 (共33层),107.74㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯三户,有,2023-08-31,商品房,2017-11-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202207313302060013,None,None,None,None
280万,26761元/平米,万科蓝色东方,镇海区 庄市 ,3室2厅1厨2卫,低楼层 (共20层),104.63㎡,平层,82.44㎡,板楼,南,钢混结构,其他,一梯四户,暂无数据,2023-03-11,商品房,2020-04-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202303253302110008,None,None,None,None
178万,19789元/平米,星海熙园,海曙区 高桥 ,3室2厅1厨1卫,高楼层 (共18层),89.95㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,无,2023-10-09,商品房,2023-10-10,普通住宅,未满两年,非共有,有抵押 60万元,已上传房本照片,202310103302030032,None,None,None,None
202.9万,25124元/平米,银亿上上城,鄞州区 潘火 ,2室2厅1厨1卫,高楼层 (共18层),80.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2023-03-24,商品房,2015-07-08,普通住宅,满五年,共有,无抵押,已上传房本照片,202303243302120125,None,None,None,None
230万,18811元/平米,清泉花园,镇海区 庄市 ,3室2厅1厨2卫,中楼层 (共7层),122.27㎡,平层,111.67㎡,板塔结合,南,钢混结构,精装,一梯两户,无,2023-07-01,商品房,2013-11-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202307023302110001,None,None,None,None
300万,20978元/平米,水岸枫情,海曙区 古林 ,4室2厅1厨2卫,高楼层 (共6层),143.01㎡,平层,126.07㎡,板楼,南,钢混结构,精装,一梯两户,有,2020-12-21,商品房,2011-03-09,普通住宅,暂无数据,非共有,有抵押 有抵押大概130万左右,已上传房本照片,202002253302030006,None,None,None,None
86万,6683元/平米,汀香苑,杭州湾新区 杭州湾新区 ,3室2厅1厨1卫,低楼层 (共30层),128.69㎡,平层,91.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,2023-08-22,商品房,2015-12-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230822330282010003,None,None,None,None
208万,17373元/平米,鼎豪名苑,鄞州区 云龙 ,3室2厅1厨2卫,中楼层 (共15层),119.73㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,有,2023-09-16,商品房,2016-09-07,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,202309173302120059,None,None,None,None
179万,17842元/平米,雍景苑,海曙区 石碶 ,3室2厅1厨1卫,中楼层 (共11层),100.33㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯四户,有,2022-08-28,商品房,2007-09-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202209093302030067,None,None,None,None
139万,20087元/平米,春城花园,海曙区 高桥 ,2室1厅1厨1卫,中楼层 (共7层),69.2㎡,平层,61.38㎡,板楼,南,砖混结构,精装,一梯两户,无,2023-09-18,商品房,2019-03-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202209223302030016,None,None,None,None
260万,21253元/平米,福明家园,鄞州区 福明 ,3室2厅1厨2卫,高楼层 (共7层),122.34㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2023-03-26,拆迁安置房,2003-04-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202302183302120006,None,None,None,None
210万,26039元/平米,幸福苑社区,鄞州区 福明 ,3室1厅1厨1卫,中楼层 (共7层),80.65㎡,平层,72.66㎡,板楼,南,钢混结构,精装,一梯两户,无,2023-02-16,商品房,2014-05-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202306293302120066,None,None,None,None
185万,15757元/平米,众安时代广场,余姚市 凤山 ,3室2厅1厨2卫,低楼层 (共28层),117.41㎡,平层,暂无数据,板塔结合,南 北,框架结构,其他,四梯两户,有,2022-11-02,商品房,2018-04-03,普通住宅,满五年,非共有,有抵押,已上传房本照片,202207143302810011,None,None,None,None
197万,23389元/平米,君澜上府,海曙区 白云 ,2室1厅1厨1卫,低楼层 (共18层),84.23㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,2021-07-09,商品房,2019-07-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202106233302030074,None,None,None,None
145万,22226元/平米,旺源雅苑,海曙区 石碶 ,2室1厅1厨1卫,中楼层 (共14层),65.24㎡,平层,暂无数据,平房,南,钢混结构,精装,一梯两户,有,2023-08-11,拆迁安置房,2019-03-07,普通住宅,满两年,共有,有抵押 77万元 邮政银行 业主自还,已上传房本照片,202308123302030005,None,None,None,None
130万,17403元/平米,东兴社区,鄞州区 下应 ,2室1厅1厨1卫,中楼层 (共7层),74.7㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2023-03-16,商品房,2004-01-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,202303293302120042,None,None,None,None
278万,21939元/平米,缇景雅苑,鄞州区 首南 ,3室2厅1厨2卫,高楼层 (共18层),126.72㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,2023-04-21,拆迁安置房,2023-04-22,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304223302120047,None,None,None,None
180万,20563元/平米,东方城香梅家园南区,海曙区 石碶 ,2室2厅1厨1卫,中楼层 (共6层),87.54㎡,平层,80.46㎡,板楼,南,砖混结构,精装,一梯两户,无,2022-05-04,商品房,2022-05-06,普通住宅,未满两年,非共有,有抵押,已上传房本照片,202205063302030019,None,None,None,None
530万,41076元/平米,风澜熹园,鄞州区 南部商务区 ,4室2厅1厨2卫,中楼层 (共8层),129.03㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-11-28,商品房,2021-11-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202111283302120032,None,None,None,None
245万,21078元/平米,缇景雅苑,鄞州区 首南 ,3室2厅1厨2卫,低楼层 (共18层),116.24㎡,平层,暂无数据,板塔结合,南,砖混结构,其他,两梯两户,有,2023-02-13,拆迁安置房,2023-04-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304263302120049,None,None,None,None
137万,15241元/平米,联成名苑,海曙区 古林 ,3室2厅1厨1卫,高楼层 (共6层),89.89㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,无,2022-01-17,拆迁安置房,2023-03-30,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202304113302030080,None,None,None,None
163万,24464元/平米,南苑小区,海曙区 段塘 ,3室1厅1厨1卫,中楼层 (共8层),66.63㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2023-03-28,商品房,2023-03-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,202303263302030042,None,None,None,None
269万,22632元/平米,海创家园锦园,鄞州区 下应 ,3室1厅1厨2卫,高楼层 (共33层),118.86㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2023-05-22,商品房,2023-05-22,普通住宅,未满两年,共有,有抵押,已上传房本照片,202305243302120045,None,None,None,None
